Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
Nekko senior 7+ បបរឆ្មារ Chicken in Jelly,8859160401286,code128,,Food,pcs,pcs,pcs,0.5,0.7,,,,8859160401286.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Senior 7+ បបរឆ្មារ Katsuobushi,8859160401309,code128,,Food,pcs,pcs,pcs,0.5,0.7,,,,8859160401309.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Love Mix 400g Tuna Maguro,8859160401514,code128,,Food,pcs,pcs,pcs,2.5,3.5,,,,8859160401514.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Love Mix 400g Salmon,8859160401521,code128,,Food,pcs,pcs,pcs,2.5,3.5,,,,8859160401521.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Love Mix 400g Kitten,8859160401538,code128,,Food,pcs,pcs,pcs,2.5,3.5,,,,8859160401538.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Love Mix 1.2kg Tuna Maguro,8859160401545,code128,,Food,pcs,pcs,pcs,6.1,6.5,,,,8859160401545.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Love Mix 1.2kg Salmon,8859160401552,code128,,Food,pcs,pcs,pcs,6.1,6.5,,,,8859160401552.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Love Mix 1.2kg Kitten,8859160401569,code128,,Food,pcs,pcs,pcs,6.1,6.5,,,,8859160401569.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Love Mix 3kg Tuna Maguro,8859160401576,code128,,Food,pcs,pcs,pcs,12.2,14,,,,8859160401576.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekko Love Mix 3kg Salmon Tuna,8859160401583,code128,,Food,pcs,pcs,pcs,12.2,14,,,,8859160401583.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Super Premium Tuna ,8859160401750,code128,,Food,pcs,pcs,pcs,0.66,1,,,,8859160401750.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Super Premium Tuna in Scallop,8859160401774,code128,,Food,pcs,pcs,pcs,0.85,1,,,,8859160401774.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Super Premium Blue ,8859160401804,code128,,Food,pcs,pcs,pcs,0.66,1,,,,8859160401804.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Vitamin Orange,8859160401897,code128,,Food,pcs,pcs,pcs,1.17,2.25,,,,8859160401897.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Vitamin Pink,8859160401903,code128,,Food,pcs,pcs,pcs,1.17,2.25,,,,8859160401903.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Vitamin Purple,8859160401910,code128,,Food,pcs,pcs,pcs,1.17,2.25,,,,8859160401910.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Vitamin Red,8859160401965,code128,,Food,pcs,pcs,pcs,1.17,2.25,,,,8859160401965.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Vitamin Green,8859160401972,code128,,Food,pcs,pcs,pcs,1.17,2.25,,,,8859160401972.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toro Vitamin Blue,8859160401989,code128,,Food,pcs,pcs,pcs,1.17,2.25,,,,8859160401989.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Hong សាច់កំប៉ុង Chucky Turkey in Gravy ,8859160402009,code128,,Food,pcs,pcs,pcs,0.88,1.4,,,,8859160402009.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Hong សាច់កំប៉ុង Chucky Liver in Gravy ,8859160402016,code128,,Food,pcs,pcs,pcs,0.88,1.4,,,,8859160402016.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Pouch Tuna Salmon,8859160402306,code128,,Food,pcs,pcs,pcs,0.3,0.6,,,,8859160402306.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Pouch Seafood Cocktail,8859160402313,code128,,Food,pcs,pcs,pcs,0.3,0.6,,,,8859160402313.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Pouch Kitten Tuna Chicken,8859160402320,code128,,Food,pcs,pcs,pcs,0.3,0.6,,,,8859160402320.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meow Meow Pouch Kitten Tuna Chicken,8859160402337,code128,,Food,pcs,pcs,pcs,0.3,0.6,,,,8859160402337.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Hong Puppy Chicken Goat Milk Egg ចំណីសើម,8859160402344,code128,,Food,pcs,pcs,pcs,0.31,1.25,,,,8859160402344.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Hong Puppy Chicken Liver ចំណីសើម,8859160402351,code128,,Food,pcs,pcs,pcs,0.31,1.25,,,,8859160402351.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
