"Product Code","Product Name",Variant,Expected,Counted
3661103067399,"NexGard Spectra 3.5-7.5Kg",,2.0000,
3661103067405,"NexGard Spectra 2-3.5KG",,3.0000,
3661103067412,"NexGard Spectra 30-60kg",,0.0000,
3850477810204,"SmartHeart Roast Beef Dog Food 20KG",,0.0000,
40091001,"IVY Dog Shampoo Red",,0.0000,
40091002,"IVY Dog Shampoo Orange",,0.0000,
40091003,"IVY Dog Shampoo Pink",,0.0000,
40091004,"IVY Dog Shampoo Yellow",,0.0000,
433298037519,S-ប្រឡៅBPS,,0.0000,
433298037557,M-ប្រឡៅBPS,,0.0000,
4580278059178,ប្រដាប់លេងឆ្មារ,,2.0000,
4580626180042,"Hell Kitchen 2 Goat Milk Cat Porridge",,0.0000,
4580626180059,"Hell Kitchen 3 Cheese Chicken Cat Porridge",,0.0000,
4580626180202,"Hell Kitchen 4 Fish and Shrimp Cat Porridge",,0.0000,
4580626180219,"Hell Kitchen 1 Pumpkin and Ham Cat Porridge",,0.0000,
46091001,"Ivy ទឹកជូតត្រចៀក Ear Lotion",,9.0000,
46091002,"Ivy ទឹកជូតភ្នែក​ Eye Lotion",,11.0000,
4901133056413,"Ciao Tower Chicken Tuna",,0.0000,
4901133056437,"Ciao Tower Bonito",,8.0000,
4901133056444,"Ciao Tower Chicken Fish",,16.0000,
4901133549915,"Ciao Petite Tuna",,6.0000,
4901133549922,"Ciao Petite Bonito",,6.0000,
4901133549939,"Ciao Petite Chicken",,6.0000,
4901133622052,"Ciao Cup Pudding Red",,6.0000,
4901133622069,"Ciao Cup Pudding Blue",,6.0000,
4901133622076,"Ciao Cup Pudding Orange",,3.0000,
4901133622083,"Ciao Cup Pudding Pink",,5.0000,
4901133625893,"Ciao Churu Bee Maguro",,0.0000,
4901133625909,"Ciao Churu Bee Chicken",,0.0000,
4901133625954,"Ciao Churu Bee Sasimi",,0.0000,
4901133630842,"Ciao ក្រហម បបរវីតាមីន ត្រីសមុទ្រ",,3.0000,
4901133630866,"Ciao លឿង បបរវីតាមីន សាច់មាន់",,11.0000,
4901133630873,"Ciao ខៀវ បបរវីតាមីន ត្រីសមុទ្រ និងខ្យង",,10.0000,
4901133632433,"Ciao Soft Bits Long Orange",,0.0000,
4901133632440,"Ciao Soft Bits Long Green",,0.0000,
4901133632457,"Inaba Wan Tube Green",,0.0000,
4901133632464,"Inaba Wan Tube Red",,3.0000,
4901133632471,"Inaba Wan Tube Yellow",,2.0000,
4901133635762,"Ciao Soft Bits Yellow",,10.0000,
4901133635779,"Ciao Soft Bits Long Purple",,0.0000,
4901133635984,"Ciao Soft Bits Green",,6.0000,
4901133636325,"Ciao Soft Bits Blue",,10.0000,
4901133716577,"Churu Creamy Treat Tuna Maguro",,6.0000,
4901133718274,"Churu Creamy Treat Squid",,12.0000,
4901133718373,"Churu Creamy Treat Scallop",,5.0000,
