Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
 XS-ខ្នើយពាក់កតុក្កតា,70918,code128,,Daily Used,pcs,pcs,pcs,1.17,3,,,,70918.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ខ្នើយពាក់កតុក្កតា,70919,code128,,Daily Used,pcs,pcs,pcs,1.65,3,,,,70919.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ខ្នើយពាក់កតុក្កតា,70920,code128,,Daily Used,pcs,pcs,pcs,1.82,3,,,,70920.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-ខ្នើយពាក់កតុក្កតា,70921,code128,,Daily Used,pcs,pcs,pcs,2,3,,,,70921.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ប្រឡៅទ្រុងរូបបាតជើង,70922,code128,,Collar,pcs,pcs,pcs,2.73,5,,,,70922.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ប្រឡៅទ្រុងរូបបាតជើង,70923,code128,,Collar,pcs,pcs,pcs,2.73,5,,,,70923.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-ប្រឡៅទ្រុងរូបបាតជើង,70924,code128,,Collar,pcs,pcs,pcs,2.73,5,,,,70924.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-ប្រឡៅទ្រុងរូបបាតជើង,70925,code128,,Collar,pcs,pcs,pcs,2.73,5,,,,70925.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ខ្នើយពាក់ក,70926,code128,,Daily Used,pcs,pcs,pcs,1.5,2.5,,,,70926.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ខ្សែ7ពណ៍ ខ្សែមូល  7 color,70927,code128,,Food,pcs,pcs,pcs,1.2,3,,,,70927.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ប៉ៅអុី Swing Bed,70928,code128,,Daily Used,pcs,pcs,pcs,10.8,15,,,,70928.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ពងបាញ់ទឹក,70929,code128,,Daily Used,pcs,pcs,pcs,4.6,10,,,,70929.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ស្និតសិតចៃ,70930,code128,,Daily Used,pcs,pcs,pcs,0.5,2,,,,70930.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XS-ឃ្លុបមាត់ស្បែក,70931,code128,,Daily Used,pcs,pcs,pcs,0.72,2.5,,,,70931.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ឃ្លុបមាត់ស្បែក,70932,code128,,Daily Used,pcs,pcs,pcs,0.94,2.5,,,,70932.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ឃ្លុបមាត់ស្បែក,70933,code128,,Daily Used,pcs,pcs,pcs,1.15,3.5,,,,70933.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-ឃ្លុបមាត់ស្បែក,70934,code128,,Daily Used,pcs,pcs,pcs,1.4,3.5,,,,70934.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-ឃ្លុបមាត់ស្បែក,70935,code128,,Daily Used,pcs,pcs,pcs,1.6,3.5,,,,70935.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XL-ឃ្លុបមាត់ស្បែក,70936,code128,,Daily Used,pcs,pcs,pcs,2,3.5,,,,70936.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 អាវ Batman,70937,code128,,Cloth,pcs,pcs,pcs,0.65,2,,,,70937.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#2 អាវ Batman,70938,code128,,Cloth,pcs,pcs,pcs,0.65,2,,,,70938.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#3 អាវ Batman,70939,code128,,Cloth,pcs,pcs,pcs,0.65,2,,,,70939.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#4 អាវ Batman,70940,code128,,Cloth,pcs,pcs,pcs,0.8,2,,,,70940.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#5 អាវ Batman,70941,code128,,Cloth,pcs,pcs,pcs,0.8,2,,,,70941.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#6 អាវ Batman,70942,code128,,Cloth,pcs,pcs,pcs,0.8,2,,,,70942.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#7 អាវ Batman,70943,code128,,Cloth,pcs,pcs,pcs,1.36,3,,,,70943.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#8 អាវ Batman,70944,code128,,Cloth,pcs,pcs,pcs,1.52,3,,,,70944.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#9 អាវ Batman,70945,code128,,Cloth,pcs,pcs,pcs,1.7,4,,,,70945.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#10 អាវ Batman,70946,code128,,Cloth,pcs,pcs,pcs,1.82,4,,,,70946.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11 អាវ Batman,70947,code128,,Cloth,pcs,pcs,pcs,1.82,4,,,,70947.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12 អាវ Batman,70948,code128,,Cloth,pcs,pcs,pcs,2.2,4,,,,70948.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
ចានភ្លោះព្យួរទ្រុង,70949,code128,,Daily Used,pcs,pcs,pcs,2,4.5,,,,70949.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-ប្រឡៅ DUOMM,70950,code128,,Collar,pcs,pcs,pcs,2.1,4.5,,,,70950.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ប្រឡៅ DUOMM,70951,code128,,Collar,pcs,pcs,pcs,2.1,4.5,,,,70951.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-ប្រឡៅ DUOMM,70952,code128,,Collar,pcs,pcs,pcs,2.1,4.5,,,,70952.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
XL-ប្រឡៅ DUOMM,70953,code128,,Collar,pcs,pcs,pcs,2.1,4.5,,,,70953.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
បង្គន់មានជញ្ជាំង ទឹករលក,70954,code128,,Daily Used,pcs,pcs,pcs,3.5,10,,,,70954.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
រនាំងទ្វារ,70955,code128,,Daily Used,pcs,pcs,pcs,19.24,30,,,,70955.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
កាំ1 រនាំងទ្វារ,70956,code128,,Daily Used,pcs,pcs,pcs,3.7,4.5,,,,70956.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
